user_id,days_passed_last_trip,days_passed_last_dropoff_trip,days_passed_last_failed_trip,days_passed_last_rider_cancel_trip,days_passed_last_driver_cancel_trip,numbers_of_dropoff_trips_last9m,numbers_of_failed_trips_last9m,numbers_of_trips_canceled_by_rider_last9m,numbers_of_trips_canceled_by_driver_last9m,numbers_of_trips_charged_cancelation_fee_last9m,total_spending_last9m,total_cancelation_fee_last9m,total_distance_last9m,total_duration_last9m,avg_distance_last9m,avg_duration_last9m,avg_rider_score_last9m,is_last_trip_dropoff,is_last_trip_failed,is_last_trip_canceled_by_rider,is_last_trip_canceled_by_driver,label
139c353f1b54511df60e64ab8e62eee3,95,95.0,0.0,0.0,0.0,1,0,0,0,0,5654.0,0.0,17390.0,595.0,17390.0,595.0,5.0,1,0,0,0,1
13cd660fbea6e3b6221aa0fc6fcb8f58,96,97.0,126.0,96.0,97.0,161,1,53,3,1,538169.0,1700.0,1306633.0,121320.0,4529.5,340.5,4.783216783216783,0,0,1,0,0
13f9089105129d9278966aaca452a3e6,294,294.0,0.0,294.0,0.0,1,0,1,0,0,4022.0,0.0,8939.0,1394.0,4469.5,697.0,4.663370363448667,1,0,1,0,1
140372ffae5fba565a70338348dc4e5c,244,0.0,0.0,244.0,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.663370363448667,0,0,1,0,1
140372ffae5fba565a70338348e5c19a,226,226.0,0.0,226.0,0.0,1,0,1,0,0,5111.0,0.0,14697.0,490.0,7348.5,245.0,5.0,1,0,1,0,1
140372ffae5fba565a70338348e601fa,110,110.0,0.0,206.0,0.0,3,0,2,0,0,7551.0,0.0,25045.0,374.0,7500.0,39.0,5.0,1,0,0,0,0
140372ffae5fba565a70338348e64cc0,127,127.0,0.0,0.0,0.0,2,0,0,0,0,9701.0,0.0,24055.0,2403.0,12027.5,1201.5,5.0,1,0,0,0,1
140372ffae5fba565a70338348e7d9db,128,0.0,0.0,128.0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.663370363448667,0,0,1,0,0
141fe4a8514e64b4a76d7ed7959f3302,269,269.0,0.0,0.0,0.0,1,0,0,0,0,1700.0,0.0,2253.0,76.0,2253.0,76.0,4.663370363448667,1,0,0,0,1
141fe4a8514e64b4a76d7ed795a24f68,95,95.0,0.0,129.0,0.0,12,0,2,0,0,39766.0,0.0,107165.0,6569.0,8760.0,319.5,4.0,1,0,0,0,0
141fe4a8514e64b4a76d7ed795a80d8e,270,270.0,0.0,270.0,0.0,1,0,1,0,0,3569.0,0.0,7494.0,1405.0,3747.0,702.5,5.0,1,0,1,0,1
141fe4a8514e64b4a76d7ed795bce400,269,0.0,0.0,269.0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.663370363448667,0,0,1,0,1
141fe4a8514e64b4a76d7ed795c25af6,270,270.0,0.0,0.0,0.0,1,0,0,0,0,7507.0,0.0,19164.0,1650.0,19164.0,1650.0,5.0,1,0,0,0,1
141fe4a8514e64b4a76d7ed795c51ec0,270,270.0,0.0,0.0,0.0,1,0,0,0,0,1700.0,0.0,0.0,5.0,0.0,5.0,5.0,1,0,0,0,1
157dbc9cfa6656e3b5e6bce5dca9bb2e,203,203.0,0.0,0.0,0.0,1,0,0,0,0,1920.0,0.0,5550.0,173.0,5550.0,173.0,0.0,1,0,0,0,1
15c2795f9994744f8ffef0a4ba095708,93,93.0,0.0,110.0,145.0,55,0,7,2,0,160681.0,0.0,424777.0,22033.0,5015.0,242.0,4.545454545454546,1,0,0,0,0
15c2795f9994744f8ffef0a4ba887795,219,219.0,0.0,219.0,0.0,2,0,2,0,0,6506.0,0.0,19080.0,481.0,4288.0,0.0,5.0,1,0,1,0,1
15c2795f9994744f8ffef0a4ba8c08d7,93,93.0,0.0,95.0,0.0,16,0,2,0,0,66060.0,0.0,186803.0,7448.0,11080.0,375.0,4.9375,1,0,0,0,0
15e54a5c2394d3e9ff0357790db74615,325,325.0,0.0,325.0,0.0,1,0,1,0,0,8646.0,0.0,23829.0,1225.0,11914.5,612.5,5.0,1,0,1,0,1
1639c6af06002826cf8817e09404b60e,100,100.0,0.0,0.0,0.0,2,0,0,0,0,10033.0,0.0,34960.0,269.0,17480.0,134.5,5.0,1,0,0,0,0
1639c6af06002826cf8817e0942730a6,195,0.0,0.0,195.0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.663370363448667,0,0,1,0,1
1639c6af06002826cf8817e09429fb82,175,175.0,0.0,187.0,0.0,3,0,1,0,0,10291.0,0.0,28530.0,419.0,3740.0,105.0,3.3333333333333335,1,0,0,0,1
16c444e2173ffd1a0de394eabba2177e,94,94.0,0.0,94.0,0.0,3,0,2,0,0,12926.0,0.0,39100.0,496.0,11870.0,41.0,5.0,1,0,1,0,0
16cbe35db7fff70fbc8251b4cdc70323,101,108.0,0.0,101.0,0.0,5,0,1,0,0,21541.0,0.0,52090.0,6910.0,8770.0,232.0,5.0,0,0,1,0,1
16cbe35db7fff70fbc8251b4cdc843b1,96,96.0,0.0,127.0,120.0,33,0,5,2,0,218094.0,0.0,680240.0,22130.0,21425.0,449.5,4.636363636363637,1,0,0,0,0
17144ff2ae1210398f5c8327af5b334f,171,171.0,0.0,171.0,0.0,3,0,1,0,0,14898.0,0.0,42800.0,1444.0,12490.0,345.5,4.666666666666667,1,0,1,0,0
17144ff2ae1210398f5c8327af8091e6,180,180.0,0.0,0.0,0.0,1,0,0,0,0,7959.0,0.0,23850.0,392.0,23850.0,392.0,4.0,1,0,0,0,1
17c21284245ff240c7212732991c62d2,93,93.0,0.0,0.0,0.0,5,0,0,0,0,8500.0,0.0,10010.0,945.0,1940.0,172.0,5.0,1,0,0,0,0
17c21284245ff240c7212732991c6d12,102,102.0,0.0,103.0,0.0,2,0,1,0,0,10443.0,0.0,29070.0,1732.0,11930.0,296.0,5.0,1,0,0,0,1
17e8a2343c2b8839f43d53384ce00c0d,113,113.0,0.0,133.0,0.0,9,0,2,0,0,83847.0,0.0,243868.0,8974.0,26530.0,343.0,5.0,1,0,0,0,0
196e4e32bff45008286ae9f474fae5ae,120,120.0,0.0,0.0,0.0,10,0,0,0,0,48027.0,0.0,102112.0,55037.0,11560.0,554.0,4.333333333333333,1,0,0,0,1
1a63261ffd08f9542093a658c0065ed8,100,100.0,0.0,129.0,0.0,18,0,2,0,0,49422.0,0.0,124100.0,10371.0,5315.0,444.5,4.833333333333333,1,0,0,0,0
1a9ab9b06ea9e82f7b09c0c0cec62efb,104,104.0,0.0,127.0,0.0,2,0,1,0,0,12106.0,0.0,40980.0,589.0,20370.0,174.0,5.0,1,0,0,0,0
1ae49761b92727c765d5d502736532db,135,135.0,0.0,135.0,0.0,1,0,1,0,0,4915.0,0.0,15610.0,0.0,7805.0,0.0,0.0,1,0,1,0,1
1b2c14cb5a384e0d296d436f4f907f7e,247,0.0,247.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.663370363448667,0,1,0,0,1
1b2c14cb5a384e0d296d436f4f91648e,178,178.0,0.0,262.0,0.0,22,0,5,0,0,68267.0,0.0,182272.0,9209.0,7525.0,178.0,4.7272727272727275,1,0,0,0,1
1b7b7b119a188b9ef7e6a4327001376f,178,178.0,0.0,0.0,0.0,1,0,0,0,0,2895.0,0.0,8870.0,68.0,8870.0,68.0,5.0,1,0,0,0,1
1b7b7b119a188b9ef7e6a4327002e51d,116,116.0,0.0,0.0,0.0,4,0,0,0,0,6800.0,0.0,11520.0,226.0,2560.0,0.0,4.75,1,0,0,0,0
1c371e04d1dbaceeb9cc2ec52b6be043,244,244.0,0.0,0.0,0.0,1,0,0,0,0,1949.0,0.0,6091.0,0.0,6091.0,0.0,4.0,1,0,0,0,1
1c371e04d1dbaceeb9cc2ec52b89ac4d,309,0.0,309.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.663370363448667,0,1,0,0,1
1c371e04d1dbaceeb9cc2ec52b89c771,306,0.0,0.0,306.0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.663370363448667,0,0,1,0,1
1c371e04d1dbaceeb9cc2ec52b8cc4d4,305,305.0,0.0,0.0,0.0,1,0,0,0,0,6747.0,0.0,5439.0,6009.0,5439.0,6009.0,5.0,1,0,0,0,1
1c6b5d467e8159465ccdbb61291ebcbf,363,363.0,0.0,0.0,0.0,1,0,0,0,0,15910.0,0.0,42685.0,2701.0,42685.0,2701.0,5.0,1,0,0,0,1
1c6b5d467e8159465ccdbb6129889f31,101,101.0,0.0,0.0,0.0,1,0,0,0,0,2773.0,0.0,8460.0,79.0,8460.0,79.0,5.0,1,0,0,0,1
1cbe459130a435037ebacaf7fb1e7f35,346,346.0,0.0,347.0,0.0,5,0,3,0,0,35625.0,0.0,49441.0,14187.0,3360.0,955.5,4.0,1,0,0,0,0
1d6bbc303a2c6584d56322b8cee434e9,114,114.0,329.0,150.0,0.0,21,1,4,0,0,63894.0,0.0,182820.0,4389.0,8728.5,48.5,4.0476190476190474,1,0,0,0,0
1d6bbc303a2c6584d56322b8cee7c4d0,307,307.0,0.0,0.0,0.0,2,0,0,0,0,17254.0,0.0,49852.0,3008.0,24926.0,1504.0,5.0,1,0,0,0,1
1d6bbc303a2c6584d56322b8cef26f65,93,93.0,0.0,270.0,0.0,5,0,1,0,0,12035.0,0.0,33245.0,1677.0,6902.0,241.0,4.8,1,0,0,0,0
1e041deffa3920bbde0b20cd816d1a2f,104,104.0,0.0,0.0,0.0,5,0,0,0,0,8817.0,0.0,20630.0,871.0,4190.0,126.0,5.0,1,0,0,0,0
1e0c0dedd944f345b9ea7c543784e0f8,265,265.0,0.0,0.0,0.0,1,0,0,0,0,1700.0,0.0,3747.0,159.0,3747.0,159.0,4.663370363448667,1,0,0,0,1
